epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1938.47,0.46576,0.65188,1.14635,0.70196,0.7395,0.78893,0.62249,0.80867,0.94614,1.0412,0.0011882,0.0011882,0.0011882
43,1983.42,0.48517,0.67354,1.14678,0.70511,0.70325,0.76248,0.61055,0.79508,0.97133,1.02345,0.0011684,0.0011684,0.0011684
44,2028.96,0.46027,0.65715,1.13844,0.72489,0.67787,0.76685,0.62234,0.73234,0.90939,0.97551,0.0011486,0.0011486,0.0011486
45,2074.31,0.45813,0.66945,1.12903,0.7162,0.71398,0.78031,0.62208,0.75641,0.93262,0.9987,0.0011288,0.0011288,0.0011288
46,2119.19,0.46005,0.65003,1.13878,0.68752,0.67227,0.73191,0.57434,0.86034,1.04309,1.10449,0.001109,0.001109,0.001109
47,2164.46,0.4528,0.64676,1.13552,0.68843,0.70028,0.74036,0.58263,0.83783,1.08288,1.11469,0.0010892,0.0010892,0.0010892
48,2209.76,0.47308,0.66804,1.14349,0.76513,0.75738,0.82671,0.64253,0.83116,0.8923,1.02472,0.0010694,0.0010694,0.0010694
49,2256.55,0.45632,0.65009,1.13562,0.75029,0.74065,0.80502,0.65098,0.77041,0.88935,1.02538,0.0010496,0.0010496,0.0010496
50,2301.86,0.4545,0.63292,1.13107,0.79953,0.7535,0.82237,0.64408,0.83303,0.88792,1.05466,0.0010298,0.0010298,0.0010298
51,2348.14,0.44576,0.62042,1.12063,0.74756,0.72269,0.79347,0.64048,0.78907,0.89851,1.0381,0.00101,0.00101,0.00101
52,2393.56,0.45144,0.63182,1.13272,0.69033,0.78151,0.78427,0.60989,0.81848,0.95471,1.04928,0.0009902,0.0009902,0.0009902
53,2440.19,0.45249,0.63063,1.12427,0.76429,0.71429,0.81081,0.64218,0.82759,0.90596,1.05442,0.0009704,0.0009704,0.0009704
54,2484.93,0.44517,0.62726,1.11748,0.72118,0.69188,0.76996,0.5963,0.82832,0.95678,1.08008,0.0009506,0.0009506,0.0009506
55,2530.34,0.45102,0.61981,1.13052,0.75958,0.7257,0.78641,0.61459,0.84963,0.90411,1.09162,0.0009308,0.0009308,0.0009308
56,2576.11,0.43517,0.60344,1.11416,0.77053,0.72269,0.8051,0.64364,0.78376,0.883,0.99662,0.000911,0.000911,0.000911
57,2621.95,0.4358,0.60552,1.11013,0.74848,0.7535,0.81237,0.64143,0.80753,0.88086,1.01631,0.0008912,0.0008912,0.0008912
58,2669.34,0.41319,0.58979,1.10164,0.76156,0.72269,0.8074,0.63401,0.8105,0.91288,1.03874,0.0008714,0.0008714,0.0008714
59,2715.81,0.42511,0.59128,1.10387,0.72223,0.7591,0.79081,0.61846,0.82465,0.92985,1.06349,0.0008516,0.0008516,0.0008516
60,2763.44,0.43574,0.60773,1.10874,0.79783,0.7395,0.81306,0.65009,0.73178,0.85239,0.95155,0.0008318,0.0008318,0.0008318
61,2811.45,0.42577,0.60123,1.10382,0.70167,0.73129,0.77109,0.60676,0.80279,0.9622,1.03109,0.000812,0.000812,0.000812
62,2857.56,0.42533,0.59564,1.10843,0.75999,0.73669,0.79813,0.65319,0.74157,0.87883,0.99172,0.0007922,0.0007922,0.0007922
63,2904.89,0.41689,0.57961,1.10439,0.76168,0.7451,0.80822,0.65243,0.76351,0.88939,0.98683,0.0007724,0.0007724,0.0007724
64,2951.82,0.42519,0.58439,1.1071,0.80993,0.72813,0.82371,0.67903,0.73588,0.84475,0.94454,0.0007526,0.0007526,0.0007526
65,2998.02,0.41776,0.57282,1.101,0.76782,0.7563,0.81525,0.66919,0.7285,0.82923,0.94736,0.0007328,0.0007328,0.0007328
66,3045.44,0.40894,0.5695,1.09648,0.73408,0.78992,0.83501,0.68676,0.72103,0.8167,0.97367,0.000713,0.000713,0.000713
67,3092.06,0.40749,0.56474,1.09313,0.7417,0.77215,0.80895,0.66219,0.73496,0.86361,0.96185,0.0006932,0.0006932,0.0006932
68,3139.56,0.40953,0.56881,1.09941,0.75947,0.72269,0.80522,0.66023,0.7375,0.87001,0.96769,0.0006734,0.0006734,0.0006734
69,3187.33,0.4215,0.57427,1.10324,0.74375,0.73984,0.81358,0.66828,0.72224,0.84624,0.94919,0.0006536,0.0006536,0.0006536
70,3232.7,0.40858,0.55379,1.08928,0.79917,0.72829,0.83392,0.6719,0.76709,0.82738,0.97749,0.0006338,0.0006338,0.0006338
